French,English
histoire,history
chercher,search
police,police
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
ville,city
chaque,each
parlé,speak
arrivé,come
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
aucune,any
place,square
compris,understood
savais,knew
voici,here is
pourrais,could
affaire,case
donné,given
façon,way
écoute,listen
dont,whose
premier,first
côté,side
pouvoir,power
vieux,old
tiens,here
matin,morning
suite,after
pardon,sorry
venez,come
chambre,bedroom
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
eau,water
attendez,Wait
nouvelle,new
dirait,would say
compte,account
donne,given
loin,far
fin,end
chérie,sweetheart
plutôt,rather
aura,will have
